month,Price,quantity
2014-01-01,2.376666666666667,23.0
2014-02-01,2.39,13.0
2014-03-01,2.3562307692307694,22.0
2014-04-01,2.39,6.0
2014-05-01,2.278714285714286,23.0
2014-06-01,1.9533750000000003,8.0
2014-07-01,2.255,4.0
2014-08-01,2.27,2.0
2014-09-01,2.27,14.0
2014-10-01,2.288181818181818,13.0
2014-11-01,2.3214285714285716,8.0
2014-12-01,2.221833333333334,16.0
2015-01-01,2.35,7.0
2015-02-01,2.35,9.0
2015-03-01,2.3728571428571428,8.0
2015-04-01,2.43,11.0
2015-05-01,2.43,13.0
2015-06-01,2.5667851277562757,0.0
2015-07-01,2.3936153846153845,19.0
2015-08-01,2.43,11.0
2015-09-01,2.380730769230769,18.0
2015-10-01,2.5667851277562757,0.0
2015-11-01,2.43,8.0
2015-12-01,2.43,13.0
2016-01-01,2.43,10.0
2016-02-01,2.43,17.0
2016-03-01,2.43,17.0
2016-04-01,2.43,19.0
2016-05-01,2.43,8.0
2016-06-01,2.43,3.0
2016-07-01,2.0578055555555554,38.0
2016-08-01,2.43,18.0
2016-09-01,2.403,13.0
2016-10-01,2.32,19.0
2016-11-01,2.256773618538324,36.0
2016-12-01,1.9788070175438595,39.0
2017-01-01,2.32,13.0
2017-02-01,2.4284999999999997,16.0
2017-03-01,2.4324999999999997,18.0
2017-04-01,2.443194444444445,23.0
2017-05-01,2.4499999999999997,22.0
2017-06-01,2.4499999999999997,8.0
2017-07-01,2.6335909090909095,12.0
2017-08-01,2.5995384615384607,16.0
2017-09-01,2.5599999999999996,17.0
2017-10-01,2.5846818181818185,13.0
2017-11-01,2.66,12.0
2017-12-01,2.651133333333333,16.0
2018-01-01,2.801666666666667,15.0
2018-02-01,2.9,16.0
2018-03-01,3.299999999999999,24.0
2018-04-01,3.3000000000000003,7.0
2018-05-01,3.3000000000000003,10.0
2018-06-01,3.3,5.0
2018-07-01,3.3000000000000003,6.0
2018-08-01,3.263277777777778,11.0
2018-09-01,3.3,13.0
2018-10-01,3.4330769230769227,16.0
2018-11-01,3.5273571428571424,21.0
2018-12-01,3.5399999999999996,15.0
